x,u,V,T,Lambda,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
0.0897959,0.018366,0.500402,1541.2,-0.076951,0.0106276,3.64073e-07,1.28887e-10,2.77941e-05,2.42717e-07,0.115718,2.06642e-09,9.19852e-11,1.80083e-14,4.55212e-13,2.47841e-09,5.00301e-11,3.05334e-05,0.0235756,0.0998496,0.0612817,1.38002e-09,7.0265e-07,2.98486e-10,1.11005e-11,3.52348e-07,2.38929e-09,0.0150883,1.46155e-07,0.000556452,3.04396e-08,2.38189e-05,6.9878e-09,1.28144e-05,2.80056e-06,1.07542e-11,9.16866e-11,4.94699e-09,3.47583e-05,9.53349e-12,6.52866e-06,3.59343e-11,1.18678e-09,8.68752e-11,1.73786e-11,5.55764e-05,5.60309e-12,9.88572e-15,8.32082e-09,3.85456e-09,1.13485e-06,1.50185e-11,0.673092,1.21951e-05,2.96603e-11,5.64354e-09,6.2888e-11,4.23097e-09,0.782985
0.0918367,0.0164936,0.511272,1563.96,-0.076951,0.0105243,4.76217e-07,8.82543e-11,1.24008e-05,3.45502e-07,0.115977,1.00665e-09,4.37001e-11,4.14651e-14,8.75705e-13,3.54185e-09,7.66656e-11,3.41087e-05,0.0199212,0.0998217,0.0623581,1.68532e-09,7.55476e-07,4.0887e-10,1.26098e-11,3.66354e-07,3.44364e-09,0.0144351,1.53339e-07,0.000436508,3.14906e-08,1.95521e-05,8.4487e-09,1.27493e-05,3.08585e-06,1.60255e-11,1.4599e-10,7.39553e-09,3.85461e-05,1.29022e-11,8.48882e-06,1.77973e-11,1.74172e-09,1.37713e-10,2.8231e-11,6.22425e-05,7.29081e-12,1.65383e-14,1.02814e-08,4.95673e-09,1.35004e-06,2.41724e-11,0.67632,1.17751e-05,2.36153e-11,4.25804e-09,6.212e-11,3.23228e-09,0.756019
0.0938776,0.0145804,0.521007,1590.38,-0.076951,0.0103498,6.43622e-07,6.96889e-11,4.85316e-06,5.16806e-07,0.11634,4.32715e-10,1.87392e-11,1.07845e-13,1.87527e-12,5.42576e-09,1.25726e-10,3.84895e-05,0.0163476,0.0998053,0.0633567,2.1335e-09,8.62518e-07,5.92463e-10,1.67362e-11,3.88101e-07,5.14682e-09,0.0135419,1.59826e-07,0.00032819,3.29675e-08,1.55396e-05,1.1453e-08,1.31396e-05,3.41419e-06,2.51791e-11,2.43051e-10,1.14126e-08,4.2308e-05,1.81145e-11,1.1149e-05,8.2538e-12,2.61823e-09,2.28182e-10,4.78094e-11,6.9053e-05,9.5813e-12,3.02629e-14,1.37991e-08,6.46627e-09,1.61827e-06,4.1114e-11,0.679717,1.1333e-05,1.80748e-11,3.11752e-09,6.77813e-11,2.6586e-09,0.727636
0.0959184,0.0126263,0.529451,1620.92,-0.076951,0.0100907,8.97074e-07,8.32589e-11,1.61416e-06,8.1233e-07,0.116824,1.58507e-10,7.45258e-12,3.12547e-13,4.38977e-12,8.76792e-09,2.17981e-10,4.35719e-05,0.0129432,0.099755,0.0642882,2.79232e-09,1.01825e-06,8.98935e-10,2.46357e-11,4.13655e-07,7.92967e-09,0.0123803,1.63933e-07,0.000234386,3.45779e-08,1.1778e-05,1.68224e-08,1.37288e-05,3.77781e-06,4.26256e-11,4.25003e-10,1.81383e-08,4.58667e-05,2.63366e-11,1.48963e-05,4.53178e-12,4.04203e-09,3.97268e-10,8.43336e-11,7.58149e-05,1.26887e-11,5.94493e-14,1.96783e-08,8.56847e-09,1.95426e-06,7.37264e-11,0.683257,1.08723e-05,1.31396e-11,2.17536e-09,7.79024e-11,2.24104e-09,0.698054
0.0979592,0.0106311,0.536452,1656.08,-0.076951,0.00973195,1.28612e-06,1.65155e-10,4.56076e-07,1.34141e-06,0.117442,4.93348e-11,3.63068e-12,9.94961e-13,1.1049e-11,1.47366e-08,3.94777e-10,4.90413e-05,0.00980401,0.0995841,0.0651932,3.77142e-09,1.22237e-06,1.41471e-09,3.84802e-11,4.38555e-07,1.24778e-08,0.01093,1.63454e-07,0.000157305,3.5829e-08,8.35725e-06,2.59648e-08,1.42892e-05,4.15288e-06,7.94283e-11,7.81564e-10,2.9571e-08,4.89404e-05,3.95545e-11,2.04083e-05,4.69371e-12,6.44338e-09,7.28676e-10,1.54635e-10,8.223e-05,1.68932e-11,1.23296e-13,2.93181e-08,1.154e-08,2.37494e-06,1.39004e-10,0.686912,1.03966e-05,8.96431e-12,1.41303e-09,9.07746e-11,1.85724e-09,0.667513
0.0989796,0.0096176,0.539359,1675.58,-0.076951,0.00950882,1.55486e-06,2.62131e-10,2.09259e-07,1.75622e-06,0.117808,2.38238e-11,3.21641e-12,1.83162e-12,1.79331e-11,1.93168e-08,5.38263e-10,5.17697e-05,0.00836857,0.0993947,0.06567,4.4328e-09,1.3437e-06,1.79492e-09,4.8751e-11,4.49268e-07,1.57155e-08,0.010095,1.60689e-07,0.000125376,3.61373e-08,6.82754e-06,3.26104e-08,1.44801e-05,4.33063e-06,1.13305e-10,1.08106e-09,3.80243e-08,5.0123e-05,4.90245e-11,2.42889e-05,6.05004e-12,8.31314e-09,1.00871e-09,2.12181e-10,8.51268e-05,1.95141e-11,1.80398e-13,3.64536e-08,1.34732e-08,2.62253e-06,1.94333e-10,0.688774,1.01544e-05,7.21009e-12,1.09991e-09,9.75752e-11,1.66311e-09,0.65196
0.1,0.00859353,0.54185,1696.44,-0.076951,0.0092544,1.89013e-06,4.36948e-10,8.89709e-08,2.327e-06,0.118215,1.0821e-11,3.65515e-12,3.42853e-12,2.94386e-11,2.54268e-08,7.3793e-10,5.43203e-05,0.00703512,0.0991066,0.0661811,5.24599e-09,1.47728e-06,2.28867e-09,6.2091e-11,4.57578e-07,1.97763e-08,0.00919015,1.55766e-07,9.78357e-05,3.60573e-08,5.43836e-06,4.1113e-08,1.45671e-05,4.4883e-06,1.66038e-10,1.50919e-09,4.90426e-08,5.0982e-05,6.11632e-11,2.91618e-05,8.53613e-12,1.0803e-08,1.41121e-09,2.9339e-10,8.77199e-05,2.25436e-11,2.65777e-13,4.5637e-08,1.57868e-08,2.89601e-06,2.74519e-10,0.690653,9.90978e-06,5.68555e-12,8.30806e-10,1.04163e-10,1.46744e-09,0.636257
0.10102,0.00755874,0.543911,1718.7,-0.076951,0.00896665,2.30828e-06,7.54008e-10,3.54037e-08,3.1191e-06,0.118667,4.92513e-12,4.91378e-12,6.50207e-12,4.87093e-11,3.3516e-08,1.01434e-09,5.65225e-05,0.00581345,0.0986821,0.0667504,6.24544e-09,1.62172e-06,2.92609e-09,7.92801e-11,4.62382e-07,2.47791e-08,0.00822233,1.48357e-07,7.454e-05,3.54474e-08,4.20653e-06,5.18716e-08,1.45073e-05,4.6114e-06,2.49591e-10,2.12105e-09,6.33081e-08,5.14092e-05,7.67415e-11,3.53484e-05,1.26561e-11,1.41344e-08,1.99114e-09,4.08198e-10,8.98843e-05,2.6026e-11,3.93011e-13,5.74676e-08,1.85538e-08,3.19453e-06,3.91225e-10,0.692547,9.66336e-06,4.38903e-12,6.05346e-10,1.10017e-10,1.2718e-09,0.620436
0.102041,0.00651306,0.54553,1742.41,-0.076951,0.00864354,2.82859e-06,1.33735e-09,1.43979e-08,4.22669e-06,0.119166,2.86179e-12,7.16008e-12,1.2433e-11,8.08816e-11,4.40848e-08,1.39297e-09,5.81584e-05,0.00471134,0.0980731,0.0674086,7.46895e-09,1.77418e-06,3.74002e-09,1.0117e-10,4.6243e-07,3.0775e-08,0.00720286,1.38209e-07,5.52576e-05,3.41577e-08,3.14425e-06,6.52718e-08,1.42544e-05,4.68151e-06,3.8349e-10,2.98974e-09,8.1546e-08,5.12699e-05,9.67175e-11,4.3276e-05,1.93679e-11,1.85815e-08,2.82405e-09,5.70213e-10,9.14518e-05,2.99904e-11,5.80935e-13,7.2655e-08,2.18488e-08,3.51395e-06,5.61181e-10,0.694451,9.41558e-06,3.31046e-12,4.22379e-10,1.14472e-10,1.07914e-09,0.604527
0.103061,0.00545636,0.546699,1767.6,-0.076951,0.00828308,3.47268e-06,2.42827e-09,8.38858e-09,5.78536e-06,0.119719,2.95641e-12,1.08096e-11,2.38211e-11,1.34031e-10,5.76025e-08,1.90229e-09,5.89605e-05,0.00373393,0.0972191,0.0681942,8.95258e-09,1.92943e-06,4.76033e-09,1.28543e-10,4.56317e-07,3.76658e-08,0.00614871,1.25209e-07,3.96796e-05,3.20481e-08,2.25731e-06,8.15764e-08,1.37595e-05,4.67637e-06,5.98742e-10,4.20453e-09,1.04377e-07,5.04026e-05,1.22245e-10,5.35025e-05,3.03938e-11,2.44529e-08,4.00775e-09,7.97273e-10,9.21965e-05,3.44256e-11,8.53953e-13,9.1958e-08,2.57381e-08,3.8449e-06,8.07554e-10,0.696361,9.16689e-06,2.43187e-12,2.7962e-10,1.16705e-10,8.93284e-10,0.58856
